 bj | 2025-11-01 | 0.0
Sd|2025-11-01|0.0
nm | 2025-11-01|0.0
 HG|2025-11-01 | 0.0
mr|2025-11-01|0.0
gs | 2025-11-01 | 0.0
bj|2025-11-02| 0.0
sd | 2025-11-02 | 결측
NM|2025-11-02|0.0
hg | 2025-11-02 | 0.0
MR|2025-11-02| 0.0
gs|2025-11-02|결측
 bj|2025-11-03|9.4
sd|2025-11-03 | 8.8
nm | 2025-11-03 | 결측
hg|2025-11-03|7.2
mr | 2025-11-03 | 0.0
GS|2025-11-03|8.1
pt|2025-11-03|6.6
bj | 2025-11-04 | 3.5
sd|2025-11-04|3.9
nm|2025-11-04 | 3.1
hg | 2025-11-04 | 2.8
mr|2025-11-04|0.0
gs|2025-11-04| 3.3
PT | 2025-11-04 | 결측
